Date,Rank
2020-02-08,1256
2020-02-09,1243
2020-02-10,1229
2020-02-11,1190
2020-02-12,1183
2020-02-13,1180
2020-02-14,1173
2020-02-15,1166
2020-02-16,1159
2020-02-17,1144
2020-02-18,1129
2020-02-19,1118
2020-02-20,1110
2020-02-21,1100
2020-02-22,1092
2020-02-23,1081
2020-02-24,1059
2020-02-25,1033
2020-02-26,992
2020-02-27,952
2020-02-28,915
2020-02-29,891
2020-03-01,873
2020-03-02,842
2020-03-03,807
2020-03-04,781
2020-03-05,748
2020-03-06,694
2020-03-07,657
2020-03-08,643
2020-03-09,598
2020-03-10,579
2020-03-11,552
2020-03-12,522
2020-03-13,484
2020-03-14,451
2020-03-15,427
2020-03-16,409
2020-03-17,390
2020-03-18,373
2020-03-19,364
2020-03-20,356
2020-03-21,347
2020-03-22,331
2020-03-23,324
2020-03-24,314
2020-03-25,308
2020-03-26,304
2020-03-27,298
2020-03-28,295
2020-03-29,293
2020-03-30,291
2020-03-31,289
2020-04-01,284
2020-04-02,282
2020-04-03,279
2020-04-04,278
2020-04-05,277
2020-04-06,276
2020-04-07,274
2020-04-08,274
2020-04-09,274
2020-04-10,270
2020-04-11,270
2020-04-12,268
2020-04-13,266
2020-04-14,265
2020-04-15,263
2020-04-16,262
2020-04-17,263
2020-04-18,260
2020-04-19,261
2020-04-20,259
2020-04-21,258
2020-04-22,257
2020-04-23,255
2020-04-24,257
2020-04-25,256
2020-04-26,256
2020-04-27,257
2020-04-28,257
2020-04-29,256
2020-04-30,254
2020-05-01,254
2020-05-02,253
2020-05-03,253
2020-05-04,253
2020-05-05,252
2020-05-06,251
2020-05-07,251
