,Company,Date,Time
0,comcast-xfinity,2019-01-10,10:52 p.m.
1,comcast-xfinity,2019-01-10,3:28 a.m.
2,comcast-xfinity,2019-01-16,2:28 a.m.
3,comcast-xfinity,2019-01-18,1 p.m.
4,comcast-xfinity,2019-01-30,2:16 a.m.
5,comcast-xfinity,2019-01-31,1:40 a.m.
6,comcast-xfinity,2019-02-05,3:36 p.m.
7,comcast-xfinity,2019-02-06,8:24 a.m.
8,comcast-xfinity,2019-02-18,12:08 a.m.
9,comcast-xfinity,2019-02-19,9:44 a.m.
10,comcast-xfinity,2019-03-01,1:20 a.m.
11,comcast-xfinity,2019-03-11,2:24 p.m.
12,comcast-xfinity,2019-03-15,9:56 a.m.
13,comcast-xfinity,2019-04-01,12:36 p.m.
14,comcast-xfinity,2019-04-02,2 p.m.
15,comcast-xfinity,2019-05-06,3:44 p.m.
16,comcast-xfinity,2019-05-06,3:48 a.m.
17,comcast-xfinity,2019-05-07,10 p.m.
18,comcast-xfinity,2019-05-07,1:52 a.m.
19,comcast-xfinity,2019-05-08,9:20 p.m.
20,comcast-xfinity,2019-05-09,8 p.m.
21,comcast-xfinity,2019-05-12,10 p.m.
22,comcast-xfinity,2019-05-13,9:32 p.m.
23,comcast-xfinity,2019-05-14,9:36 p.m.
24,comcast-xfinity,2019-05-15,10:48 a.m.
25,comcast-xfinity,2019-05-16,3:48 a.m.
26,comcast-xfinity,2019-05-16,10 p.m.
27,comcast-xfinity,2019-05-17,11:48 a.m.
28,comcast-xfinity,2019-05-19,9:12 p.m.
29,comcast-xfinity,2019-05-20,4:48 p.m.
30,comcast-xfinity,2019-05-21,3:20 a.m.
31,comcast-xfinity,2019-05-21,10:28 p.m.
32,comcast-xfinity,2019-05-22,9:08 p.m.
33,comcast-xfinity,2019-05-23,8:28 p.m.
34,comcast-xfinity,2019-05-24,6:40 a.m.
35,comcast-xfinity,2019-05-24,8:40 p.m.
36,comcast-xfinity,2019-05-25,9:48 p.m.
37,comcast-xfinity,2019-05-26,9:32 p.m.
38,comcast-xfinity,2019-05-27,9:36 p.m.
39,comcast-xfinity,2019-05-28,3:48 p.m.
40,comcast-xfinity,2019-05-29,12:32 p.m.
41,comcast-xfinity,2019-05-29,1:52 a.m.
42,comcast-xfinity,2019-05-29,10:36 p.m.
43,comcast-xfinity,2019-05-30,10:24 p.m.
44,comcast-xfinity,2019-05-30,12:12 p.m.
45,comcast-xfinity,2019-05-31,10 p.m.
46,comcast-xfinity,2019-06-01,8:16 p.m.
47,comcast-xfinity,2019-06-02,3:24 p.m.
48,comcast-xfinity,2019-06-03,1:24 a.m.
49,comcast-xfinity,2019-06-03,8:36 p.m.
50,comcast-xfinity,2019-06-04,1 p.m.
51,comcast-xfinity,2019-06-04,11:12 p.m.
52,comcast-xfinity,2019-06-05,12:36 p.m.
53,comcast-xfinity,2019-06-05,10:36 p.m.
54,comcast-xfinity,2019-06-06,4:52 p.m.
55,comcast-xfinity,2019-06-07,4:24 p.m.
56,comcast-xfinity,2019-06-07,2:56 a.m.
57,comcast-xfinity,2019-06-08,10:04 p.m.
58,comcast-xfinity,2019-06-09,8:04 p.m.
59,comcast-xfinity,2019-06-10,3:16 p.m.
60,comcast-xfinity,2019-06-11,1:16 a.m.
61,comcast-xfinity,2019-06-11,11:16 a.m.
62,comcast-xfinity,2019-06-11,9:20 p.m.
63,comcast-xfinity,2019-06-12,12:36 p.m.
64,comcast-xfinity,2019-06-12,10:40 p.m.
65,comcast-xfinity,2019-06-13,5 p.m.
66,comcast-xfinity,2019-06-14,10:04 p.m.
67,comcast-xfinity,2019-06-15,10:08 p.m.
68,comcast-xfinity,2019-06-17,12:08 a.m.
69,comcast-xfinity,2019-06-17,9:04 p.m.
70,comcast-xfinity,2019-06-18,2:56 p.m.
71,comcast-xfinity,2019-06-19,1 a.m.
72,comcast-xfinity,2019-06-19,2:36 p.m.
73,comcast-xfinity,2019-06-20,3 p.m.
74,comcast-xfinity,2019-06-20,12:36 a.m.
75,comcast-xfinity,2019-06-21,9:20 p.m.
76,comcast-xfinity,2019-06-21,1 a.m.
77,comcast-xfinity,2019-06-22,9:32 p.m.
78,comcast-xfinity,2019-06-23,10 p.m.
