Company,Date,Time
spectrum,02/28/2020,12:34 a.m.
spectrum,02/26/2020,12:14 a.m.
spectrum,02/25/2020,1:30 a.m.
spectrum,02/22/2020,3:06 a.m.
spectrum,02/21/2020,2:30 a.m.
spectrum,02/18/2020,3:14 a.m.
spectrum,02/16/2020,8:38 p.m.
spectrum,02/14/2020,1:50 a.m.
spectrum,02/13/2020,2:42 a.m.
spectrum,02/12/2020,12:30 a.m.
spectrum,02/11/2020,12:46 a.m.
spectrum,02/08/2020,12:34 p.m.
spectrum,02/07/2020,3:30 p.m.
spectrum,02/07/2020,2:02 a.m.
spectrum,02/06/2020,12:14 a.m.
spectrum,02/05/2020,12:26 a.m.
