Company,Date,Time
spectrum,08/31/2019,12:58 p.m.
spectrum,08/30/2019,12:22 a.m.
spectrum,08/29/2019,1:30 p.m.
spectrum,08/29/2019,1:22 a.m.
spectrum,08/27/2019,9:38 p.m.
spectrum,08/27/2019,12:18 a.m.
spectrum,08/25/2019,9:46 p.m.
spectrum,08/24/2019,9:22 p.m.
spectrum,08/23/2019,9:58 p.m.
spectrum,08/22/2019,9:46 p.m.
spectrum,08/21/2019,9:38 p.m.
spectrum,08/20/2019,7:46 p.m.
spectrum,08/19/2019,8:46 p.m.
spectrum,08/18/2019,9:30 p.m.
spectrum,08/15/2019,9:26 p.m.
spectrum,08/14/2019,8:38 p.m.
spectrum,08/13/2019,8:58 p.m.
spectrum,08/12/2019,9:30 p.m.
spectrum,08/12/2019,12:26 a.m.
spectrum,08/08/2019,7:46 p.m.
spectrum,08/07/2019,9:57 p.m.
spectrum,08/07/2019,11:53 a.m.
spectrum,08/06/2019,9:01 p.m.
spectrum,08/05/2019,9:21 p.m.
spectrum,08/05/2019,12:13 a.m.
spectrum,08/02/2019,9:45 p.m.
spectrum,08/01/2019,9:29 p.m.
spectrum,08/01/2019,11:25 a.m.
