Date,Average Viewers
2014-08-01,392652
2014-09-01,383753
2014-10-01,380295
2014-11-01,392835
2014-12-01,395772
2015-01-01,493468
2015-02-01,512584
2015-03-01,522739
2015-04-01,504390
2015-05-01,516814
2015-06-01,518666
2015-07-01,550079
2015-08-01,598394
2015-09-01,506181
2015-10-01,589628
2015-11-01,581150
2015-12-01,543112
2016-01-01,618700
2016-02-01,593219
2016-03-01,615139
2016-04-01,522493
2016-05-01,593981
2016-06-01,619838
2016-07-01,599655
2016-08-01,513664
2016-09-01,534140
2016-10-01,608446
2016-11-01,623095
2016-12-01,659345
2017-01-01,811003
2017-02-01,744805
2017-03-01,701500
2017-04-01,743596
2017-05-01,683590
2017-06-01,709304
2017-07-01,760689
2017-08-01,717126
2017-09-01,732925
2017-10-01,786585
2017-11-01,800069
2017-12-01,780131
2018-01-01,967829
2018-02-01,915659
2018-03-01,971728
2018-04-01,1011491
2018-05-01,1024200
2018-06-01,1095466
2018-07-01,1076453
2018-08-01,1150353
2018-09-01,1132031
2018-10-01,1145919
2018-11-01,1202989
2018-12-01,1136970
2019-01-01,1276009
2019-02-01,1311802
2019-03-01,1273772
2019-04-01,1234112
2019-05-01,1262560
2019-06-01,1304579
2019-07-01,1232340
2019-08-01,1342559
2019-09-01,1219579
2019-10-01,1211344
2019-11-01,1222247
2019-12-01,1183198
2020-01-01,1357375
2020-02-01,1410516
2020-03-01,1637064
2020-04-01,2486264
2020-05-01,2535999
